court_id,name,court_level,court_type,bench_size,selection_jurisdiction,selection_method,selection_type,term_length,url
flacirct10har,"Circuit Court of the 10th Judicial Circuit of Florida, Hardee County",lwr,Circuit Court,597,circuit,nonpartisan election*,nonpartisan election,6,
flacirct10hig,"Circuit Court of the 10th Judicial Circuit of Florida, Highlands County",lwr,Circuit Court,597,circuit,nonpartisan election*,nonpartisan election,6,
flacirct10pol,"Circuit Court of the 10th Judicial Circuit of Florida, Polk County",lwr,Circuit Court,597,circuit,nonpartisan election*,nonpartisan election,6,
flacirct11,Circuit Court of the 11th Judicial Circuit of Florida,lwr,Circuit Court,597,circuit,nonpartisan election*,nonpartisan election,6,
flacirct11mia,"Circuit Court of the 11th Judicial Circuit of Florida, Miami-Dade County",lwr,Circuit Court,597,circuit,nonpartisan election*,nonpartisan election,6,
flacirct12,Circuit Court of the 12th Judicial Circuit of Florida,lwr,Circuit Court,597,circuit,nonpartisan election*,nonpartisan election,6,
flacirct12des,"Circuit Court of the 12th Judicial Circuit of Florida, De Soto County",lwr,Circuit Court,597,circuit,nonpartisan election*,nonpartisan election,6,
flacirct12man,"Circuit Court of the 12th Judicial Circuit of Florida, Manatee County",lwr,Circuit Court,597,circuit,nonpartisan election*,nonpartisan election,6,
flacirct12sar,"Circuit Court of the 12th Judicial Circuit of Florida, Sarasota County",lwr,Circuit Court,597,circuit,nonpartisan election*,nonpartisan election,6,
flacirct13,Circuit Court of the 13th Judicial Circuit of Florida,lwr,Circuit Court,597,circuit,nonpartisan election*,nonpartisan election,6,
flacirct13hil,"Circuit Court of the 13th Judicial Circuit of Florida, Hillsborough County",lwr,Circuit Court,597,circuit,nonpartisan election*,nonpartisan election,6,
flacirct14,Circuit Court of the 14th Judicial Circuit of Florida,lwr,Circuit Court,597,circuit,nonpartisan election*,nonpartisan election,6,
flacirct14bay,"Circuit Court of the 14th Judicial Circuit of Florida, Bay County",lwr,Circuit Court,597,circuit,nonpartisan election*,nonpartisan election,6,
flacirct14cal,"Circuit Court of the 14th Judicial Circuit of Florida, Calhoun County",lwr,Circuit Court,597,circuit,nonpartisan election*,nonpartisan election,6,
flacirct14gul,"Circuit Court of the 14th Judicial Circuit of Florida, Gulf County",lwr,Circuit Court,597,circuit,nonpartisan election*,nonpartisan election,6,
flacirct14hol,"Circuit Court of the 14th Judicial Circuit of Florida, Holmes County",lwr,Circuit Court,597,circuit,nonpartisan election*,nonpartisan election,6,
flacirct14jac,"Circuit Court of the 14th Judicial Circuit of Florida, Jackson County",lwr,Circuit Court,597,circuit,nonpartisan election*,nonpartisan election,6,
flacirct14was,"Circuit Court of the 14th Judicial Circuit of Florida, Washington County",lwr,Circuit Court,597,circuit,nonpartisan election*,nonpartisan election,6,
flacirct15,Circuit Court of the 15th Judicial Circuit of Florida,lwr,Circuit Court,597,circuit,nonpartisan election*,nonpartisan election,6,
flacirct15pal,"Circuit Court of the 15th Judicial Circuit of Florida, Palm Beach County",lwr,Circuit Court,597,circuit,nonpartisan election*,nonpartisan election,6,
flacirct16,Circuit Court of the 16th Judicial Circuit of Florida,lwr,Circuit Court,597,circuit,nonpartisan election*,nonpartisan election,6,
flacirct16mon,"Circuit Court of the 16th Judicial Circuit of Florida, Monroe County",lwr,Circuit Court,597,circuit,nonpartisan election*,nonpartisan election,6,
flacirct17,Circuit Court of the 17th Judicial Circuit of Florida,lwr,Circuit Court,597,circuit,nonpartisan election*,nonpartisan election,6,
flacirct17bro,"Circuit Court of the 17th Judicial Circuit of Florida, Broward County",lwr,Circuit Court,597,circuit,nonpartisan election*,nonpartisan election,6,
flacirct18,Circuit Court of the 18th Judicial Circuit of Florida,lwr,Circuit Court,597,circuit,nonpartisan election*,nonpartisan election,6,https://flcourts18.org/
flacirct18bre,"Circuit Court of the 18th Judicial Circuit of Florida, Brevard County",lwr,Circuit Court,597,circuit,nonpartisan election*,nonpartisan election,6,
flacirct18sem,"Circuit Court of the 18th Judicial Circuit of Florida, Seminole County",lwr,Circuit Court,597,circuit,nonpartisan election*,nonpartisan election,6,
flacirct19,Circuit Court of the 19th Judicial Circuit of Florida,lwr,Circuit Court,597,circuit,nonpartisan election*,nonpartisan election,6,
flacirct19ind,"Circuit Court of the 19th Judicial Circuit of Florida, Indian River County",lwr,Circuit Court,597,circuit,nonpartisan election*,nonpartisan election,6,
flacirct19mar,"Circuit Court of the 19th Judicial Circuit of Florida, Martin County",lwr,Circuit Court,597,circuit,nonpartisan election*,nonpartisan election,6,
flacirct19oke,"Circuit Court of the 19th Judicial Circuit of Florida, Okeechobee County",lwr,Circuit Court,597,circuit,nonpartisan election*,nonpartisan election,6,
flacirct19stl,"Circuit Court of the 19th Judicial Circuit of Florida, St. Lucie County",lwr,Circuit Court,597,circuit,nonpartisan election*,nonpartisan election,6,
flacirct20,Circuit Court of the 20th Judicial Circuit of Florida,lwr,Circuit Court,597,circuit,nonpartisan election*,nonpartisan election,6,
flacirct20cha,"Circuit Court of the 20th Judicial Circuit of Florida, Charlotte County",lwr,Circuit Court,597,circuit,nonpartisan election*,nonpartisan election,6,
flacirct20col,"Circuit Court of the 20th Judicial Circuit of Florida, Collier County",lwr,Circuit Court,597,circuit,nonpartisan election*,nonpartisan election,6,
flacirct20gla,"Circuit Court of the 20th Judicial Circuit of Florida, Glades County",lwr,Circuit Court,597,circuit,nonpartisan election*,nonpartisan election,6,
flacirct20hen,"Circuit Court of the 20th Judicial Circuit of Florida, Hendry County",lwr,Circuit Court,597,circuit,nonpartisan election*,nonpartisan election,6,
flacirct20lee,"Circuit Court of the 20th Judicial Circuit of Florida, Lee County",lwr,Circuit Court,597,circuit,nonpartisan election*,nonpartisan election,6,
flapubserv,Florida Public Service Commission,lwr,,,,,,,http://www.psc.state.fl.us/
flacirct,Circuit Court for the Judicial Circuits of Florida,lwr,Circuit Court,597,circuit,nonpartisan election*,nonpartisan election,6,
ga,Supreme Court of Georgia,sup,Supreme Court,9,statewide,nonpartisan election*+,nonpartisan election,6,http://www.gasupreme.us/
gactapp,Court of Appeals of Georgia,apl,Court of Appeal,12,statewide,nonpartisan election*+,nonpartisan election,6,http://www.gaappeals.us/
haw,Hawaii Supreme Court,sup,Supreme Court,5,statewide,gubernatorial appointment from nominating commission with senate confirmation,appointment,10,http://www.courts.state.hi.us/
hawapp,Hawaii Intermediate Court of Appeals,apl,Intermediate Court of Appeals,6,statewide,gubernatorial appointment from nominating commission with senate confirmation,appointment,10,http://www.courts.state.hi.us/
idaho,Idaho Supreme Court,sup,Supreme Court,5,statewide,nonpartisan election*+,nonpartisan election,6,http://www.isc.idaho.gov/
